feature,gain,split
max_lift,424293.3534090221,1912
completeness,240646.61169075966,841
popularity_x_lift,142133.9909785092,1094
city_rank,131591.72012171708,1200
cand_popularity_rank,106874.23521158099,1234
max_confidence,102523.94086037576,1346
completeness_gap,74688.7728946209,292
cand_avg_price,71182.50614477694,1794
fills_missing_slot,69005.69707155228,412
veg_compatible,68903.68493080139,200
price_ratio,53747.03100582212,2906
price_vs_user_avg,47886.88506783545,2676
cand_typical_role,47738.114468455315,318
cart_value,47516.025081532076,2586
total_co_count,43085.05830553174,1614
cand_solo_ratio,35064.89855840802,1552
user_avg_order_value,30186.56534180045,2055
restaurant,27732.459455430508,434
city_lift,25965.58622688055,1667
complement_fills_gap,23678.32190513611,226
user_avg_items,20629.836313925683,1380
cand_category,20507.006285637617,392
items_in_cart,20154.62138414383,504
cart_has_side,17231.329305171967,165
user_single_item_ratio,15819.267854869366,761
user_order_count,13156.457728162408,996
cand_order_frequency,11442.310016691685,416
cuisine_city_share,10730.737626913935,802
user_weekend_ratio,9511.1052230848,895
order_hour,7761.773790851235,698
cand_flavor_profile,7627.3415840268135,441
hour_sin,7056.7649574279785,627
cand_veg_nonveg,6691.839025437832,213
hour_cos,6587.022617459297,583
cand_cuisine,6191.575311899185,267
cart_has_main,5464.556874752045,54
cart_size_bucket,5236.599444150925,115
cuisine_city_rank,2676.6469269394875,168
copurchase_pairs,2575.7150350809097,177
city,2457.662324786186,223
meal_period,1675.511304616928,155
is_weekend,1380.128084897995,121
city_item_signal,872.9806115627289,69
cart_has_drink,749.7842416763306,40
user_is_cold_start,700.2244441360235,63
cart_has_dessert,509.4647421836853,23
is_local_favorite,64.8648910522461,6
