item,order_frequency,total_qty_sold,restaurant,avg_bill_when_present,solo_order_count,multi_order_count,solo_order_ratio,popularity_rank,avg_price_proxy,peak_meal_period
Mutton Seekh Pide,278,301,Aura Pizzas,800.1877777777778,44,235,0.15827338129496402,40,346.4573775388292,dinner
Mutton Seekh Pizza,258,271,Aura Pizzas,1235.231081081081,88,171,0.34108527131782945,43,613.4610896610897,dinner
Mutton Smashed Burger,57,63,Dilli Burger Adda,661.1061403508772,20,37,0.3508771929824561,80,389.0850877192982,late_night
Mutton Smashed Double Burger,3,3,Dilli Burger Adda,850.4133333333333,1,2,0.3333333333333333,180,342.8733333333333,dinner
OG Cheese Burger,1,1,Dilli Burger Adda,958.0,0,1,0.0,215,319.3333333333333,dinner
OG Cheese Pide,261,281,Aura Pizzas,773.1119157088123,24,237,0.09195402298850575,42,304.1664406130268,dinner
Og Cheese Burger,2,2,Dilli Burger Adda,924.0,0,2,0.0,189,356.16666666666663,dinner
Onion Bombs,43,45,Swaad,972.1406976744187,1,42,0.023255813953488372,91,282.5394518272425,dinner
Onion Rings,286,295,Aura Pizzas,1106.6631118881119,11,275,0.038461538461538464,39,345.03558533133537,dinner
Ooh Masala Fries,1,1,Masala Junction,258.0,1,0,1.0,215,258.0,dinner
Ooh Saucy Fries,11,11,Masala Junction,364.27272727272725,9,2,0.8181818181818182,135,308.09090909090907,dinner
Paneer 65 Paneer Steak,1,1,Tandoori Junction,1098.0,0,1,0.0,215,549.0,dinner
Peanut Butter Chocolate Pide,107,112,Aura Pizzas,1123.725981308411,8,99,0.07476635514018691,70,347.2914037437122,dinner
Pepperoni Garlic Bread,307,328,Aura Pizzas,846.4714332247557,52,255,0.16938110749185667,35,357.5255926529135,dinner
Peri Peri Boneless Grilled Chicken Breast,21,21,Tandoori Junction,956.32,13,8,0.6190476190476191,119,602.1474603174603,late_night
Peri Peri Chicken Melt,322,334,Aura Pizzas,908.8464086687306,105,218,0.32608695652173914,34,454.1643163054695,dinner
Peri Peri Crisper Fries,505,544,Aura Pizzas,898.9662376237624,55,450,0.10891089108910891,25,316.8411582272513,dinner
Peri Peri Crispers Fries,2,2,Masala Junction,239.0,1,1,0.5,189,171.75,dinner
Peri Peri Fries,291,310,Aura Pizzas,1004.5009965635738,25,266,0.0859106529209622,37,345.1946615393007,dinner
Peri Peri Fries .,14,17,Swaad,785.7142857142857,0,14,0.0,128,310.16428571428565,dinner
Peri Peri Grilled Chicken Pizza,412,436,Aura Pizzas,1239.2246116504855,71,341,0.17233009708737865,29,511.62491225535524,dinner
Peri Peri Grilled Chicken Quarter,1,1,Tandoori Junction,629.0,1,0,1.0,215,629.0,late_night
Peri Peri Grilled Chicken Tangdi (4pcs),3,3,Tandoori Junction,922.0,2,1,0.6666666666666666,180,697.3333333333334,late_night
Peri Peri Ketchup,1,1,The Chicken Junction,269.0,0,1,0.0,215,134.5,snack
Peri Peri Krispers,7,8,Swaad,938.0,1,6,0.14285714285714285,150,380.85714285714283,late_night
Peri Peri Paneer Melt,124,126,Aura Pizzas,905.8345967741936,19,105,0.1532258064516129,66,371.6484744623656,dinner
Peri Peri Paneer Pizza,734,767,Aura Pizzas,1079.9580926430517,188,546,0.2561307901907357,14,499.1780310894071,dinner
Peri Peri Sauce,13,14,Swaad,951.3115384615384,0,13,0.0,132,237.70929487179487,late_night
Peri Peri dip,2,2,Tandoori Junction,861.12,0,2,0.0,189,307.655,dinner
Raw Masala Lemon Shikanji,52,59,Aura Pizzas,949.5457692307692,2,50,0.038461538461538464,84,288.02380815018313,late_night
Raw Mint Mojito Iced Tea,1,1,Dilli Burger Adda,309.53,0,1,0.0,215,103.17666666666666,snack
Raw Peach Iced Tea,1,1,Dilli Burger Adda,309.53,0,1,0.0,215,103.17666666666666,snack
Red Rice,6,7,Swaad,457.8333333333333,1,5,0.16666666666666666,158,229.0,dinner
Salted Crisper Fries,216,247,Aura Pizzas,946.7198148148149,4,212,0.018518518518518517,53,311.3673601925338,dinner
Salted Fries,250,279,Swaad,912.63344,9,241,0.036,44,323.0380395238095,dinner
Salted Fries .,11,14,Swaad,1139.0,0,11,0.0,135,398.630303030303,dinner
Salted Krispers,6,9,Swaad,1063.3333333333333,0,6,0.0,158,371.2916666666667,dinner
Signature Smashed Tenderloin Burger,1,1,Dilli Burger Adda,1159.0,0,1,0.0,215,289.75,dinner
Smoky BBQ Boneless Grilled Chicken Breast,21,22,Tandoori Junction,1022.0454545454545,13,9,0.6190476190476191,119,641.5909090909091,dinner
Smoky BBQ Grilled Chicken Quarter,2,2,Tandoori Junction,1937.0,1,1,0.5,189,635.0,dinner
Smoky BBQ Grilled Chicken Tangdi (4pcs),2,2,Tandoori Junction,1163.0,1,1,0.5,189,630.6666666666667,dinner
Smoky BBQ Sauce,35,39,Swaad,921.0954285714286,0,35,0.0,99,241.26598185941043,dinner
Smoky BBQ dip,2,2,Tandoori Junction,269.0,0,2,0.0,189,109.58333333333334,dinner
Spinach Sumac Pide,291,306,Aura Pizzas,921.6395532646047,35,256,0.12027491408934708,37,343.0409901816397,dinner
Tenderloin Smashed Burger,11,11,Dilli Burger Adda,723.1818181818181,3,8,0.2727272727272727,135,321.22727272727275,dinner
Tenderloin Smashed Double Burger,2,2,Dilli Burger Adda,734.0,1,1,0.5,189,401.33333333333337,dinner
Tipsy Tiger Fresh Lime Soda,231,299,Aura Pizzas,998.5443290043289,16,215,0.06926406926406926,50,317.6573090646727,dinner
Tipsy Tiger Ginger Ale,113,135,Aura Pizzas,1128.6958407079644,1,112,0.008849557522123894,68,322.3423515687852,dinner
Tripple Cheese Pizza,910,959,Aura Pizzas,968.3902305159165,290,621,0.31868131868131866,9,494.6306243816557,dinner
Very Peri Tenderloin Burger,2,2,Dilli Burger Adda,859.0,0,2,0.0,189,333.66666666666663,late_night
